Downloaded from wid.world on 26-05-2020 at 14:48:04
Percentile;Year;"sptinc_z_US
Pre-tax national income 
Top 1% | share
USA";"agdpro_992_i_US
Gross domestic product
Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2018)
USA"
p99p100;1950;0.1585;
p99p100;1951;0.1494;
p99p100;1952;0.142;
p99p100;1953;0.1326;
p99p100;1954;0.1349;
p99p100;1955;0.1413;
p99p100;1956;0.1339;
p99p100;1957;0.1317;
p99p100;1958;0.1247;
p99p100;1959;0.1307;
p99p100;1960;0.1259;
p99p100;1961;0.1245;
p99p100;1962;0.1362;
p99p100;1963;;
p99p100;1964;0.14;
p99p100;1965;;
p99p100;1966;0.1366;
p99p100;1967;0.1311;
p99p100;1968;0.1343;
p99p100;1969;0.1239;
p99p100;1970;0.1146;
p99p100;1971;0.1184;
p99p100;1972;0.1185;
p99p100;1973;0.1172;
p99p100;1974;0.1118;
p99p100;1975;0.1112;
p99p100;1976;0.1103;
p99p100;1977;0.1137;
p99p100;1978;0.1113;
p99p100;1979;0.1168;
p99p100;1980;0.1118;
p99p100;1981;0.1146;
p99p100;1982;0.1164;
p99p100;1983;0.1195;
p99p100;1984;0.1287;
p99p100;1985;0.1295;
p99p100;1986;0.1259;
p99p100;1987;0.1356;
p99p100;1988;0.1526;
p99p100;1989;0.1476;
p99p100;1990;0.1483;
p99p100;1991;0.1418;
p99p100;1992;0.1535;
p99p100;1993;0.1495;
p99p100;1994;0.1492;
p99p100;1995;0.1548;
p99p100;1996;0.1628;
p99p100;1997;0.1694;
p99p100;1998;0.1715;
p99p100;1999;0.1784;
p99p100;2000;0.1839;
p99p100;2001;0.1749;
p99p100;2002;0.1711;
p99p100;2003;0.1732;
p99p100;2004;0.1833;
p99p100;2005;0.1943;
p99p100;2006;0.2013;
p99p100;2007;0.1989;
p99p100;2008;0.1942;
p99p100;2009;0.1847;
p99p100;2010;0.1988;
p99p100;2011;0.1968;
p99p100;2012;0.2091;
p99p100;2013;0.1961;
p99p100;2014;0.2035;
p99p100;2015;0.2019;
p99p100;2016;0.1964;
p99p100;2017;0.2051;
p99p100;2018;0.2053;
p0p50;1950;0.1755;
p0p50;1951;0.1845;
p0p50;1952;0.1899;
p0p50;1953;0.1934;
p0p50;1954;0.1863;
p0p50;1955;0.1883;
p0p50;1956;0.1928;
p0p50;1957;0.1919;
p0p50;1958;0.1835;
p0p50;1959;0.1814;
p0p50;1960;0.1819;
p0p50;1961;0.1762;
p0p50;1962;0.193;
p0p50;1963;;
p0p50;1964;0.1849;
p0p50;1965;;
p0p50;1966;0.1939;
p0p50;1967;0.2059;
p0p50;1968;0.2035;
p0p50;1969;0.2103;
p0p50;1970;0.2084;
p0p50;1971;0.2016;
p0p50;1972;0.1996;
p0p50;1973;0.2006;
p0p50;1974;0.2054;
p0p50;1975;0.1999;
p0p50;1976;0.2008;
p0p50;1977;0.1982;
p0p50;1978;0.1972;
p0p50;1979;0.1994;
p0p50;1980;0.1974;
p0p50;1981;0.1937;
p0p50;1982;0.1887;
p0p50;1983;0.1813;
p0p50;1984;0.1779;
p0p50;1985;0.1776;
p0p50;1986;0.1756;
p0p50;1987;0.1716;
p0p50;1988;0.168;
p0p50;1989;0.1686;
p0p50;1990;0.1672;
p0p50;1991;0.1649;
p0p50;1992;0.1566;
p0p50;1993;0.1574;
p0p50;1994;0.1569;
p0p50;1995;0.1532;
p0p50;1996;0.1502;
p0p50;1997;0.1483;
p0p50;1998;0.1489;
p0p50;1999;0.1468;
p0p50;2000;0.1464;
p0p50;2001;0.1494;
p0p50;2002;0.149;
p0p50;2003;0.146;
p0p50;2004;0.1424;
p0p50;2005;0.1384;
p0p50;2006;0.1354;
p0p50;2007;0.1386;
p0p50;2008;0.1382;
p0p50;2009;0.1364;
p0p50;2010;0.1319;
p0p50;2011;0.1287;
